@id	@lon	@lat
244065834	-6.3378115	53.2773217
244065835	-6.3377227	53.2773981
244065836	-6.3374533	53.2776555
244065837	-6.3372543	53.2778458
244065839	-6.3368274	53.2782216
244065840	-6.3366393	53.2783702
244065841	-6.3361975	53.2786017
244065842	-6.3354176	53.2788415
244065843	-6.3348778	53.2789915
244065844	-6.3343498	53.2790707
244065845	-6.3340849	53.2791184
244065846	-6.3336624	53.2791417
244065847	-6.3333876	53.2791551
244065848	-6.3330690	53.2791449
244065849	-6.3326519	53.2791260
244065850	-6.3323111	53.2790430
244065851	-6.3319754	53.2789804
244065852	-6.3317491	53.2789759
244069194	-6.3398141	53.2895974
244069197	-6.3395493	53.2895711
244069198	-6.3396734	53.2895475
246669888	-6.3501217	53.2887221
247123668	-6.3499349	53.2767234
247123669	-6.3505530	53.2764910
247123670	-6.3508170	53.2763903
247123672	-6.3512949	53.2761893
247123673	-6.3518625	53.2758834
275679884	-6.3324993	53.2823732
275679885	-6.3333427	53.2819375
275679886	-6.3314162	53.2811766
275680365	-6.3310768	53.2825902
275680367	-6.3316862	53.2827945
275680368	-6.3323213	53.2831948
275680369	-6.3339193	53.2824316
275680370	-6.3339264	53.2823429
275680371	-6.3337890	53.2821787
275680928	-6.3307895	53.2836808
275681126	-6.3319827	53.2845531
275681127	-6.3319013	53.2835263
275681322	-6.3337250	53.2838091
275682047	-6.3336064	53.2831690
275682048	-6.3343142	53.2831619
275682049	-6.3350297	53.2844351
275682050	-6.3339139	53.2845377
275682063	-6.3329644	53.2833540
275682064	-6.3330813	53.2845839
275682093	-6.3320599	53.2846352
275682094	-6.3330298	53.2846044
275682179	-6.3336049	53.2831522
275682180	-6.3342314	53.2827982
275682181	-6.3341370	53.2826391
275682334	-6.3308352	53.2834274
275682742	-6.3322628	53.2832853
275684315	-6.3310729	53.2805351
275684321	-6.3305782	53.2812895
275693406	-6.3305750	53.2865645
275693407	-6.3309098	53.2865799
276256550	-6.3306753	53.2816419
276256774	-6.3311572	53.2865824
276262161	-6.3302840	53.2846836
276262163	-6.3304042	53.2850064
276262164	-6.3305087	53.2852224
276262165	-6.3307238	53.2856391
276262166	-6.3319692	53.2855977
276262167	-6.3320622	53.2850171
276262168	-6.3325171	53.2849556
276262169	-6.3328347	53.2849043
276262170	-6.3329892	53.2848376
276262171	-6.3330407	53.2847503
276262172	-6.3330407	53.2847041
276262173	-6.3320622	53.2847144
276262174	-6.3319506	53.2846323
276265994	-6.3327036	53.2858707
276265995	-6.3326880	53.2857809
276265996	-6.3323876	53.2858065
276265998	-6.3323876	53.2858886
278286967	-6.3314386	53.2797758
278287174	-6.3304995	53.2781335
278287176	-6.3305585	53.2783972
278287178	-6.3304812	53.2784844
278287181	-6.3303439	53.2785357
278287535	-6.3308358	53.2791239
278295680	-6.3310654	53.2786804
278911194	-6.3381423	53.2780968
278911195	-6.3395123	53.2782123
278911196	-6.3404940	53.2784612
278911197	-6.3416442	53.2787896
278911277	-6.3383444	53.2772628
278911278	-6.3384980	53.2780865
278911388	-6.3403947	53.2769013
278911431	-6.3416388	53.2780134
278911433	-6.3406587	53.2778673
278911485	-6.3414349	53.2767281
278911832	-6.3380135	53.2781049
278911833	-6.3378496	53.2784659
278911834	-6.3377628	53.2785726
278911835	-6.3377888	53.2788375
278911836	-6.3377839	53.2794583
278911837	-6.3377912	53.2799662
278911838	-6.3377875	53.2802012
278911840	-6.3374363	53.2802662
278911841	-6.3373960	53.2807786
278911842	-6.3374819	53.2814406
278911843	-6.3375591	53.2820975
278911844	-6.3376020	53.2827081
278911845	-6.3376793	53.2833752
278911846	-6.3377651	53.2838576
278911847	-6.3378853	53.2843040
278911885	-6.3364004	53.2785309
278911886	-6.3367089	53.2788769
278911887	-6.3372754	53.2795646
278911900	-6.3381756	53.2797400
278911901	-6.3379432	53.2798686
278939731	-6.3393167	53.2768724
279522312	-6.3319976	53.2856460
279522313	-6.3306527	53.2857122
279522392	-6.3312746	53.2856718
279522393	-6.3315212	53.2860391
279522394	-6.3316307	53.2860041
279522395	-6.3315802	53.2856580
280092180	-6.3314832	53.2868543
280092181	-6.3309712	53.2869593
280092188	-6.3316750	53.2879047
280092190	-6.3318466	53.2877187
280092191	-6.3318466	53.2875904
280092192	-6.3316063	53.2869490
280092193	-6.3313440	53.2867325
280092300	-6.3307480	53.2870003
280092301	-6.3305764	53.2870773
280092302	-6.3305163	53.2871543
280092303	-6.3307995	53.2878623
280092304	-6.3309186	53.2879352
280092305	-6.3310742	53.2879817
280092306	-6.3317780	53.2878469
280094114	-6.3310450	53.2883905
280094120	-6.3324475	53.2884370
280094122	-6.3338319	53.2883465
280094124	-6.3345074	53.2883344
280094126	-6.3353002	53.2882678
280094128	-6.3361477	53.2882229
280094129	-6.3365845	53.2881958
280094130	-6.3367673	53.2881797
280094132	-6.3372368	53.2878110
280094136	-6.3384853	53.2868709
280094138	-6.3388676	53.2863846
280094142	-6.3402323	53.2849735
280094144	-6.3407130	53.2844604
280094145	-6.3408589	53.2840755
280094146	-6.3410563	53.2837420
280094148	-6.3412451	53.2833315
280094150	-6.3416571	53.2828543
280094151	-6.3418808	53.2826531
280094152	-6.3418888	53.2824232
280094154	-6.3426197	53.2823478
280094158	-6.3440343	53.2820463
280094160	-6.3441733	53.2822049
280094164	-6.3439647	53.2831034
280094166	-6.3432811	53.2832838
280094167	-6.3429446	53.2834762
280094170	-6.3412451	53.2845168
280094172	-6.3408589	53.2847067
280094300	-6.3417685	53.2835491
280094302	-6.3420004	53.2831827
280094304	-6.3418631	53.2828594
280094308	-6.3314405	53.2884314
280094309	-6.3319402	53.2883883
280094311	-6.3330485	53.2882506
280094312	-6.3349166	53.2883224
280094315	-6.3374428	53.2876314
280094316	-6.3380951	53.2872877
280094318	-6.3385282	53.2867041
280094321	-6.3399147	53.2851634
280094324	-6.3414854	53.2830236
280094325	-6.3420004	53.2822949
280094328	-6.3438530	53.2820190
280094330	-6.3444570	53.2824970
280094331	-6.3445471	53.2828236
